SMILES,Temp,K,lnK,lnA,splits,temp_input,lnA_input,K_target,Train_order,,Temp_max,1073.1
c1(CC)c(CC)c(CC)ccc1,421.775,0.099082513,-2.311802316,-2.902974448,27,2.54424752533934,-2.72185062312421,-0.74244393581209,445,,,
c1(CC)c(CC)c(CC)ccc1,490.7,0.08636585,-2.449162936,-2.902974448,27,2.18687589158345,-2.72185062312421,-1.20236502323124,489,,,
CCOP(=O)(OCC)OCC,216.65,0.122097997,-2.102931303,-2.846545376,val,4.95315024232633,-2.53291058953748,-0.0430864094024123,717,,,
CCOP(=O)(OCC)OCC,284.525,0.112607715,-2.183845053,-2.846545376,val,3.77154907301643,-2.53291058953748,-0.314007870641896,1208,,,
CCOP(=O)(OCC)OCC,352.4,0.103117432,-2.271886824,-2.846545376,val,3.04511918274688,-2.53291058953748,-0.608795904189123,1207,,,
CCOP(=O)(OCC)OCC,420.275,0.09362715,-2.368434879,-2.846545376,val,2.5533281779787,-2.53291058953748,-0.932065313163864,306,,,
CCOP(=O)(OCC)OCC,488.15,0.084136867,-2.475310437,-2.846545376,val,2.19829970296016,-2.53291058953748,-1.2899140390497,411,,,
CC[Al](CC)CC,220.65,0.1598896,-1.833271702,-2.685515112,29,4.86335825968729,-1.99373703217968,0.859808007679679,106,,,
CC[Al](CC)CC,282.275,0.1465786,-1.920193476,-2.685515112,29,3.8016119032858,-1.99373703217968,0.568770031741002,662,,,
CC[Al](CC)CC,343.9,0.1332676,-2.015396142,-2.685515112,29,3.12038383250945,-1.99373703217968,0.250005354703854,260,,,
CC[Al](CC)CC,405.525,0.1199566,-2.120625268,-2.685515112,29,2.6461993711855,-1.99373703217968,-0.102330664586732,772,,,
CC[Al](CC)CC,467.15,0.1066456,-2.238244091,-2.685515112,29,2.2971208391309,-1.99373703217968,-0.496150792765541,140,,,
CCOC(OCC)OCC,197.05,0.128643653,-2.050709077,-2.98011982,test,5.44582593250444,-2.980154519682,0.131767948195629,208,,,
CCOC(OCC)OCC,252.575,0.1171311,-2.144461463,-2.98011982,test,4.24863901811343,-2.980154519682,-0.18214079302336,960,,,
CCOC(OCC)OCC,308.1,0.105618546,-2.247921298,-2.98011982,test,3.48296007789679,-2.980154519682,-0.528552740038495,321,,,
CCOC(OCC)OCC,363.625,0.094105993,-2.363333552,-2.98011982,test,2.9511172224132,-2.980154519682,-0.914984669081734,135,,,
CCOC(OCC)OCC,419.15,0.082593439,-2.493825033,-2.98011982,test,2.56018131933675,-2.980154519682,-1.35190599224157,29,,,
[Si](OCC)(OCC)(OCC)CCCS,210,0.18984954,-1.661523415,-2.706419159,31,5.11,-2.06372952367907,1.43486845018071,420,,,
[Si](OCC)(OCC)(OCC)CCCS,282.2,0.16992833,-1.772378518,-2.706419159,31,3.80262225372077,-2.06372952367907,1.06369511449162,1111,,,
[Si](OCC)(OCC)(OCC)CCCS,354.4,0.15002434,-1.896957728,-2.706419159,31,3.02793453724605,-2.06372952367907,0.646569698684536,372,,,
[Si](OCC)(OCC)(OCC)CCCS,426.6,0.130137571,-2.039163151,-2.706419159,31,2.5154711673699,-2.06372952367907,0.170426879999964,588,,,
[Si](OCC)(OCC)(OCC)CCCS,498.8,0.110268021,-2.204841319,-2.706419159,31,2.15136327185245,-2.06372952367907,-0.38430913668497,1149,,,
c1ccccc1(CCCCCCCCCCCCC),283.15,0.131104477,-2.031760739,-3.140542034,32,3.78986402966625,-3.51729215861424,0.195212188748312,136,,,
c1ccccc1(CCCCCCCCCCCCC),365.97,0.117487213,-2.14142578,-3.140542034,32,2.93220755799656,-3.51729215861424,-0.171976492466041,384,,,
c1ccccc1(CCCCCCCCCCCCC),448.79,0.103869948,-2.26461566,-3.140542034,32,2.39109605829007,-3.51729215861424,-0.584450049797354,718,,,
c1ccccc1(CCCCCCCCCCCCC),531.61,0.090252684,-2.405141945,-3.140542034,32,2.01858505295235,-3.51729215861424,-1.05497065321465,1055,,,
c1ccccc1(CCCCCCCCCCCCC),614.43,0.076635419,-2.568695915,-3.140542034,32,1.74649675308823,-3.51729215861424,-1.60259427149854,316,,,
CCCCCCCCCCCCC=O,323.78,0.146046316,-1.923831472,-3.031581625,33,3.31428747915251,-3.15246277889161,0.556589021810015,118,,,
CCCCCCCCCCCCC=O,377.8725,0.133950152,-2.010287552,-3.031581625,33,2.83984677371336,-3.15246277889161,0.267110317305062,132,,,
CCCCCCCCCCCCC=O,431.965,0.121853987,-2.104931781,-3.031581625,33,2.48422904633477,-3.15246277889161,-0.0497845592587394,763,,,
CCCCCCCCCCCCC=O,486.0575,0.109757822,-2.20947896,-3.031581625,33,2.20776348477289,-3.15246277889161,-0.399837232668956,1161,,,
CCCCCCCCCCCCC=O,540.15,0.097661657,-2.326246253,-3.031581625,33,1.98667036934185,-3.15246277889161,-0.790806204500552,604,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,180.15,0.07539354,-2.585033691,-3.731204367,34,5.95670274771024,-5.4949918988374,-1.65729763337861,1185,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,229.4625,0.0675494,-2.694896095,-3.731204367,34,4.67658114070927,-5.4949918988374,-2.02514714013071,685,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,278.775,0.059705261,-2.818335143,-3.731204367,34,3.84934086629002,-5.4949918988374,-2.43845498037011,1195,,,
