smiles,lnA,EaR,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,EaR_unnormed,,,,mean,0.001687455,,,,,,
CC(F)(F)Cl,-2.621296563,0.506073806,-0.962239401,0.003278689,val,-1.224175512,-3.33776256,0.644722235,,,,,,,,,,,
CC(F)(F)Cl,-2.621296563,0.506073806,-0.55488582,0.004081633,val,-0.705219762,-3.33776256,0.644722235,,,,,,,,,,,
CC(F)(F)Cl,-2.621296563,0.506073806,-0.767049832,0.003663004,val,-0.975510092,-3.33776256,0.644722235,,,,,,,,,,,
CCCCl,-3.128583722,0.676188295,-1.005035457,0.003146336,train,-1.278696351,-3.984030569,0.861442785,,,,,,,,,,,
CCCCl,-3.128583722,0.676188295,-0.900643217,0.003298697,train,-1.145703896,-3.984030569,0.861442785,,,,,,,,,,,
CCCCl,-3.128583722,0.676188295,-0.779854464,0.003474635,train,-0.991822794,-3.984030569,0.861442785,,,,,,,,,,,
CCCCl,-3.128583722,0.676188295,-0.901137051,0.003294567,train,-1.146333025,-3.984030569,0.861442785,,,,,,,,,,,
CCCCl,-3.128583722,0.676188295,-0.936501076,0.003241176,train,-1.191385689,-3.984030569,0.861442785,,,,,,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,1.29636543,0.694654749,0.003354016,train,0.886655927,-4.656538028,1.651529101,,,,,,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,1.29636543,0.231912883,0.003001651,train,0.297137231,-4.656538028,1.651529101,,,,,,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,1.29636543,0.613997842,0.003298697,train,0.783901544,-4.656538028,1.651529101,,,,,,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,1.29636543,0.360210513,0.003094538,train,0.460584407,-4.656538028,1.651529101,,,,,,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,1.29636543,0.475174141,0.003193358,train,0.607044482,-4.656538028,1.651529101,,,,,,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,1.232294536,0.207631135,0.003047387,train,0.266203041,-4.512380506,1.569904781,,,,,,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,1.232294536,0.610405393,0.003354016,train,0.779324877,-4.512380506,1.569904781,,,,,,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,1.232294536,0.458748406,0.003245173,train,0.586118608,-4.512380506,1.569904781,,,,,,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,1.232294536,0.327341519,0.003143171,train,0.418710335,-4.512380506,1.569904781,,,,,,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,1.232294536,0.53685103,0.003297609,train,0.685618914,-4.512380506,1.569904781,,,,,,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,1.37215955,0.633467688,0.003297609,train,0.808705521,-4.958013107,1.748088445,,,,,,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,1.37215955,0.34773094,0.003094538,train,0.444685821,-4.958013107,1.748088445,,,,,,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,1.37215955,0.223705728,0.002997602,train,0.286681572,-4.958013107,1.748088445,,,,,,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,1.37215955,0.477310057,0.003192848,train,0.609765572,-4.958013107,1.748088445,,,,,,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,1.37215955,0.172574726,0.002957267,train,0.22154227,-4.958013107,1.748088445,,,,,,,,,,,
CCCCCF,-3.259643097,0.727545021,-0.777529942,0.003411223,train,-0.988861425,-4.150996123,0.926869651,,,,,,,,,,,
CCCCCF,-3.259643097,0.727545021,-0.859763763,0.003298697,train,-1.093624747,-4.150996123,0.926869651,,,,,,,,,,,
